sibid,childid,round,theta_eap,ppvt_score,yc,country,group,language
16,ET040041,4,-0.505427003,1.022255898,1,1,5,1
16,ET040041,5,0.67534101,2.919881105,1,1,6,1
4,ET040042,3,0.815797985,3.145611048,1,1,4,1
4,ET040042,4,0.703927994,2.965823412,1,1,5,1
15,ET040046,3,-0.0104068,1.81780827,1,1,4,1
15,ET040046,4,0.205081999,2.164122581,1,1,5,1
15,ET040046,5,1.467419982,4.192839622,1,1,6,1
15,ET040047,3,0.307235003,2.3282938,1,1,4,1
15,ET040047,4,0.563803017,2.74062705,1,1,5,1
15,ET040047,5,0.852743983,3.204987288,1,1,6,1
7,ET040049,3,-1.335829973,-0.312293738,1,1,4,1
7,ET040049,4,-0.026247799,1.792350054,1,1,5,1
5,ET040050,3,0.51928997,2.669089794,1,1,4,1
5,ET040050,4,1.193160057,3.752073765,1,1,5,1
16,ET040051,3,-1.342630029,-0.32322219,1,1,4,1
16,ET040051,4,0.044574101,1.906168699,1,1,5,1
16,ET040051,5,0.725699008,3.000811815,1,1,6,1
7,ET040052,3,0.954910994,3.369180918,1,1,4,1
16,ET040053,3,-0.429161012,1.14482379,1,1,4,1
16,ET040053,4,0.544707,2.709937811,1,1,5,1
16,ET040053,5,0.793197989,3.109290361,1,1,6,1
4,ET040054,3,-0.779533029,0.581737161,1,1,4,1
4,ET040054,4,0.267004013,2.263638258,1,1,5,1
4,ET040054,5,0.996666014,3.436285973,1,1,6,1
3,ET040055,3,-0.673855007,0.751573443,1,1,4,1
3,ET040055,4,-0.279812992,1.384842634,1,1,5,1
3,ET040055,5,1.122280002,3.638161659,1,1,6,1
16,ET040057,3,-1.303990006,-0.261123389,1,1,4,1
8,ET040059,3,-0.738493979,0.647691429,1,1,4,1
8,ET040059,4,0.770352006,3.072574139,1,1,5,1
8,ET040059,5,1.000640035,3.442672729,1,1,6,1
16,ET040061,3,-0.62074703,0.836923838,1,1,4,1
16,ET040061,4,0.374862999,2.436979532,1,1,5,1
16,ET040061,5,1.095639944,3.59534812,1,1,6,1
7,ET040064,3,0.489419013,2.621083736,1,1,4,1
7,ET040068,3,0.130521998,2.044296503,1,1,4,1
5,ET040072,3,-0.333041012,1.299299359,1,1,4,1
5,ET040072,4,0.937471986,3.341154575,1,1,5,1
5,ET040072,5,2.197510004,5.366175175,1,1,6,1
3,ET040074,3,0.31882,2.346912146,1,1,4,1
3,ET040074,4,0.0197665,1.866300106,1,1,5,1
3,ET040074,5,0.775008976,3.080058575,1,1,6,1
16,ET040076,3,-1.372990012,-0.372014046,1,1,4,1
16,ET040076,4,0.212869003,2.176637173,1,1,5,1
16,ET040076,5,0.0153377,1.859182477,1,1,6,1
16,ET040077,3,-0.495570004,1.038097143,1,1,4,1
16,ET040077,4,0.896978974,3.276077747,1,1,5,1
16,ET040077,5,0.352171004,2.400511026,1,1,6,1
9,ET040078,3,0.154958993,2.083569527,1,1,4,1
5,ET040079,3,0.771556973,3.074510813,1,1,4,1
