childid,country,round,yc,math,group
ET151068,1,2,0,506.6260376,1
ET161001,1,2,0,453.0924683,1
ET161003,1,2,0,254.0750732,1
ET161004,1,2,0,458.5024414,1
ET161005,1,2,0,550.7277222,1
ET161006,1,2,0,472.6297302,1
ET161007,1,2,0,386.3393555,1
ET161008,1,2,0,297.8053589,1
ET161009,1,2,0,462.1997375,1
ET161011,1,2,0,459.7950439,1
ET161014,1,2,0,370.3923035,1
ET161018,1,2,0,376.4384155,1
ET161019,1,2,0,586.4451294,1
ET161020,1,2,0,325.0264893,1
ET161021,1,2,0,332.0425415,1
ET161022,1,2,0,503.0781555,1
ET161023,1,2,0,426.8299866,1
ET161024,1,2,0,463.8399658,1
ET161027,1,2,0,383.4270935,1
ET161028,1,2,0,343.4485779,1
ET161030,1,2,0,316.1293945,1
ET161031,1,2,0,452.5965576,1
ET161032,1,2,0,292.5137024,1
ET161034,1,2,0,379.0513916,1
ET161035,1,2,0,385.0274658,1
ET161037,1,2,0,431.7933044,1
ET161038,1,2,0,268.5057983,1
ET161039,1,2,0,389.7216797,1
ET161042,1,2,0,340.2621155,1
ET161049,1,2,0,348.4382629,1
ET161050,1,2,0,379.3951111,1
ET171001,1,2,0,447.4625854,1
ET171002,1,2,0,494.6475525,1
ET171003,1,2,0,424.8074341,1
ET171005,1,2,0,467.1548767,1
ET171006,1,2,0,541.0183105,1
ET171007,1,2,0,432.1375427,1
ET171008,1,2,0,391.1020813,1
ET171009,1,2,0,568.3510132,1
ET171010,1,2,0,520.9468384,1
ET171011,1,2,0,444.8664246,1
ET171012,1,2,0,583.6395264,1
ET171013,1,2,0,466.4195557,1
ET171014,1,2,0,369.0163574,1
ET171015,1,2,0,599.6396484,1
