childid,round,yc,theta_eap,read_score,country,group,language
ET161017,4,0,-0.465517998,-0.314179271,1,3,1
ET161033,4,0,0.097489201,0.320334524,1,3,1
ET161040,4,0,-0.756763995,-0.642415941,1,3,1
ET181005,4,0,0.086148597,0.307553589,1,3,1
ET010001,4,1,-0.979623973,-0.893580973,1,5,1
ET010002,4,1,0.082236297,0.303144395,1,5,1
ET010004,4,1,-0.319546014,-0.149667621,1,5,1
ET010005,4,1,-0.133983999,0.059462313,1,5,1
ET010006,4,1,0.90437299,1.229699254,1,5,1
ET010007,4,1,1.421030045,1.811976075,1,5,1
ET010008,4,1,0.777291,1.086476803,1,5,1
ET010009,4,1,-1.26888001,-1.219574928,1,5,1
ET010010,4,1,-0.181125998,0.006332887,1,5,1
ET010011,4,1,0.238527998,0.479286432,1,5,1
ET010012,4,1,0.978716016,1.31348443,1,5,1
ET010014,4,1,-0.745456994,-0.629672825,1,5,1
ET010015,4,1,-0.113118999,0.08297734,1,5,1
ET010016,4,1,2.027650118,2.495641947,1,5,1
ET010017,4,1,0.100621998,0.323865235,1,5,1
ET010020,4,1,0.42077601,0.684681475,1,5,1
ET010021,4,1,1.333199978,1.71299088,1,5,1
ET010022,4,1,1.555760026,1.963817835,1,5,1
ET010023,4,1,-1.241930008,-1.18920207,1,5,1
ET010024,4,1,0.748503029,1.054032564,1,5,1
ET010025,4,1,0.456191987,0.724595547,1,5,1
ET010026,4,1,0.500141978,0.774127543,1,5,1
ET010028,4,1,1.035809994,1.377829909,1,5,1
ET010029,4,1,0.376641989,0.634942055,1,5,1
ET010030,4,1,1.089570045,1.438417912,1,5,1
ET010031,4,1,1.163040042,1.521219134,1,5,1
ET010032,4,1,1.972120047,2.433058977,1,5,1
ET010033,4,1,1.332749963,1.712483644,1,5,1
ET010035,4,1,0.708658993,1.009127975,1,5,1
ET010036,4,1,0.893684983,1.217653751,1,5,1
ET010037,4,1,1.571460009,1.981511831,1,5,1
ET010038,4,1,1.117910028,1.470357299,1,5,1
ET010040,4,1,-1.134009957,-1.067575216,1,5,1
ET010041,4,1,0.726360023,1.029077172,1,5,1
ET010042,4,1,1.205260038,1.568801522,1,5,1
ET010043,4,1,-0.543698013,-0.402288795,1,5,1
ET010044,4,1,0.563995004,0.846090436,1,5,1
ET010045,4,1,0.175758004,0.408544123,1,5,1
ET010046,4,1,-0.016524799,0.191839814,1,5,1
ET010048,4,1,-1.901299953,-1.932317495,1,5,1
ET010049,4,1,-0.062858596,0.139621228,1,5,1
ET010050,4,1,1.496790051,1.897358179,1,5,1
ET010051,4,1,-0.280016989,-0.105118081,1,5,1
ET010052,4,1,1.420770049,1.811683059,1,5,1
ET010053,4,1,0.855772972,1.174926639,1,5,1
ET010057,4,1,0.050151799,0.26698488,1,5,1
ET010059,4,1,1.891280055,2.341951847,1,5,1
ET010060,4,1,1.485080004,1.884160876,1,5,1
ET010061,4,1,1.569900036,1.979753733,1,5,1
ET010062,4,1,0.647395015,0.940082967,1,5,1
ET010063,4,1,-0.841367006,-0.737764239,1,5,1
ET010064,4,1,0.241421998,0.482547998,1,5,1
ET010065,4,1,1.419010043,1.809699535,1,5,1
ET010066,4,1,-0.763620973,-0.650143802,1,5,1
ET010067,4,1,0.770062029,1.078329682,1,5,1
ET010068,4,1,0.201709002,0.437791109,1,5,1
ET010069,4,1,0.53975898,0.81877625,1,5,1
ET010070,4,1,0.309195012,0.558928728,1,5,1
ET010071,4,1,-0.040601101,0.164705619,1,5,1
ET010072,4,1,0.59602201,0.882185161,1,5,1
ET010073,4,1,-0.681430995,-0.557515025,1,5,1
